Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Calories_Consumed
34,Female,86.7,1.86,174,152,74,1.12,712,Strength,12.8,2.4,5,2,14.31,2349
26,Female,84.7,1.83,166,156,73,1,833,Strength,27.9,2.8,5,2,33.49,2035
22,Male,64.8,1.85,187,166,64,1.24,1678,Cardio,28.7,1.9,3,2,12.73,2788
54,Female,75.3,1.82,187,169,58,1.45,628,Cardio,31.8,2.4,4,1,20.37,1821
34,Female,52.8,1.74,177,169,66,1.6,1286,Strength,26.4,3.2,4,2,20.83,2200
38,Female,53,1.58,161,128,74,1.62,953,HIIT,23.4,2.5,2,2,13.02,2071
44,Female,46.5,1.81,191,142,74,1.46,1238,Cardio,11.9,3.7,2,2,18.12,2094
50,Female,88.5,1.63,181,136,63,1.63,829,Strength,11.6,1.8,4,2,19.16,2095
18,Female,82.9,1.54,174,169,64,0.77,802,HIIT,27.8,2.2,3,1,49.84,2200
34,Female,65.9,1.74,195,169,73,2,1231,Yoga,30.5,3.2,5,2,12.32,1964
39,Female,47,1.78,181,155,55,1.89,747,Yoga,31.7,2.3,3,3,28.39,1640
46,Male,40,1.88,168,131,69,2,672,,25.4,2.4,2,2,12.32,2236
19,Male,87.7,1.98,186,145,50,1.61,1705,Strength,14.1,2.3,3,2,15.99,2879
56,Female,107.4,1.73,176,141,71,0.65,1564,HIIT,26,3,2,3,14.48,1711
19,Female,71.7,1.91,197,148,74,1.15,464,Cardio,32.5,2.7,4,2,19.09,2195
30,Female,90.6,1.6,161,125,52,1.03,1410,Yoga,16,3.5,4,2,13.91,1717
23,Male,56.2,1.76,195,141,55,1.45,1195,HIIT,23.9,3.2,4,1,22.61,2349
39,Female,71.3,1.77,171,124,74,0.69,871,Cardio,21.9,2.1,5,1,14.31,2012
54,Female,47.7,1.56,181,128,74,1.5,853,Yoga,26.5,1.5,3,1,23.64,1602
,Male,63,1.51,184,169,71,1.3,1136,Cardio,23.8,2.3,3,2,22.69,2258
26,Male,129.9,1.71,196,136,74,1.27,931,Yoga,26.6,1.8,5,1,21.04,2187
22,Female,102.4,1.5,173,156,55,1.44,453,HIIT,17.5,1.6,4,3,18.23,2114
36,Female,64.2,1.78,192,130,74,1.38,1708,Yoga,31.9,2.1,,1,25.59,1836
18,Male,129.4,1.5,177,145,71,,772,Strength,22,1.7,5,1,18.07,2822
25,Male,57.2,1.82,184,140,74,1.15,888,Strength,26.9,2.6,4,2,15.23,2426
59,Male,71.8,1.5,165,152,74,1.94,758,Yoga,28.9,3.3,3,1,16.87,2082
18,Male,112.4,1.71,177,165,55,1.56,1044,HIIT,33.5,1.7,2,2,24.43,2408
