Employee ID,Employee Name,Department,MS Teams Hours,Slack Hours,Zoom Hours,Jira Hours,Confluence Hours,Email Hours,Total Tool Usage Hours,Productivity Score (out of 100)
E0001,Employee_1,Finance,0.93,5.63,7.27,0.67,0.73,1.33,16.56,68.23
E0002,Employee_2,Operations,0.39,0.04,1.36,0.39,0.91,2.73,5.82,71.93
E0003,Employee_3,Marketing,2.55,0.74,1.56,1.42,2.02,0.58,8.87,73.72
E0004,Employee_4,Operations,1.33,4.73,1.14,0.86,2.07,2.21,12.34,69.42
E0005,Employee_5,Operations,3.99,0.52,1.38,1.7,2.93,0.09,10.61,69.58
E0006,Employee_6,HR,0.66,4.3,2.75,6.12,0.8,1.61,16.24,68.79
E0007,Employee_7,Marketing,1.7,7.86,0.16,0.73,0.42,0.63,11.5,46.07
E0008,Employee_8,Marketing,1.0,3.72,5.32,0.15,0.47,2.22,12.88,65.88
E0009,Employee_9,Marketing,0.89,0.59,0.7,0.78,3.78,0.29,7.03,75.98
E0010,Employee_10,Operations,0.7,1.09,0.59,1.89,0.17,0.01,4.45,90.56
E0011,Employee_11,Finance,1.98,0.43,0.15,1.01,0.1,4.35,8.02,71.67
E0012,Employee_12,Marketing,1.15,2.23,0.8,0.34,8.02,3.65,16.19,62.81
E0013,Employee_13,Sales,3.94,0.58,0.08,0.72,1.54,0.79,7.65,65.76
E0014,Employee_14,Operations,6.72,1.22,3.69,0.43,1.06,2.4,15.52,75.01
E0015,Employee_15,HR,0.3,0.28,6.98,2.51,0.08,1.02,11.17,85.34
E0016,Employee_16,Finance,0.58,0.41,0.17,1.12,2.33,0.12,4.73,68.3
E0017,Employee_17,Sales,4.94,1.17,0.55,0.2,0.4,5.45,12.71,71.36
E0018,Employee_18,Sales,2.14,1.14,2.62,0.1,1.67,0.35,8.02,93.44
E0019,Employee_19,HR,0.26,0.84,0.19,0.2,0.75,7.78,10.02,76.98
E0020,Employee_20,Finance,0.85,1.25,2.1,0.1,5.96,4.36,14.62,73.69
E0021,Employee_21,Operations,0.6,0.03,5.42,1.39,1.55,2.3,11.29,75.03
E0022,Employee_22,IT,5.77,4.04,2.02,3.23,2.26,1.7,19.02,66.97
E0023,Employee_23,Finance,0.28,3.33,3.44,1.97,3.43,2.11,14.56,61.03
E0024,Employee_24,HR,0.48,0.95,0.08,1.93,0.82,2.13,6.39,63.12
E0025,Employee_25,Sales,0.97,2.29,0.83,0.6,1.37,2.36,8.42,76.08
E0026,Employee_26,Operations,0.08,1.08,6.86,1.59,1.1,1.68,12.39,66.97
E0027,Employee_27,Finance,1.72,2.63,0.27,0.58,1.74,4.04,10.98,54.17
E0028,Employee_28,IT,2.28,2.69,0.54,0.95,1.53,1.37,9.36,73.95
E0029,Employee_29,IT,0.99,0.71,0.21,0.11,6.37,3.76,12.15,72.85
E0030,Employee_30,Marketing,2.26,1.32,1.36,0.17,0.19,1.84,7.14,70.18
E0031,Employee_31,Marketing,1.61,0.48,5.84,3.04,0.24,5.35,16.56,84.86
E0032,Employee_32,HR,6.93,2.33,3.63,4.03,3.65,1.11,21.68,68.21
E0033,Employee_33,Finance,0.5,1.01,4.45,0.32,1.44,0.53,8.25,81.48
E0034,Employee_34,Finance,4.25,0.54,4.77,1.79,0.86,2.46,14.67,70.04
E0035,Employee_35,Sales,1.31,0.95,2.44,0.57,0.8,1.14,7.21,65.65
E0036,Employee_36,Sales,1.69,2.7,2.92,3.46,2.73,2.29,15.79,52.19
E0037,Employee_37,Sales,0.54,1.02,1.3,0.17,1.5,1.15,5.68,53.19
E0038,Employee_38,Marketing,0.09,5.17,5.03,0.58,2.38,0.16,13.41,74.29
E0039,Employee_39,Finance,0.36,0.49,0.7,10.96,2.39,0.97,15.87,70.73
E0040,Employee_40,Finance,6.37,0.12,1.0,0.23,0.82,0.37,8.91,72.64
